chb22, 23, 1728, 436, 0.54, 0.67, 20/08/2024, 18:57:08 
chb22, 23, 1728, 436, 0.64, 0.68, 20/08/2024, 19:03:28 
chb22, 23, 1728, 436, 0.56, 0.66, 20/08/2024, 19:08:22
 
chb03, 23, 732, 184, 0.51, 0.7, 20/08/2024, 19:12:08 
chb03, 23, 732, 184, 0.54, 0.69, 20/08/2024, 19:14:19 
chb03, 23, 732, 184, 0.48, 0.7, 20/08/2024, 19:16:30 
chb03, 23, 732, 184, 0.59, 0.68, 20/08/2024, 19:18:44 
chb03, 23, 732, 184, 0.61, 0.68, 20/08/2024, 19:20:57 

chb11, 23, 92, 24, 0.5, 0.69, 20/08/2024, 19:22:30 
chb11, 23, 92, 24, 0.5, 0.64, 20/08/2024, 19:22:52 
chb11, 23, 92, 24, 0.5, 0.72, 20/08/2024, 19:23:14 
chb11, 23, 92, 24, 0.5, 0.65, 20/08/2024, 19:23:36 
chb11, 23, 92, 24, 0.71, 0.67, 20/08/2024, 19:23:58 

chb20, 28, 654, 168, 0.53, 0.69, 20/08/2024, 19:27:12 
chb20, 28, 654, 168, 0.51, 0.71, 20/08/2024, 19:29:18 
chb20, 28, 654, 168, 0.54, 0.68, 20/08/2024, 19:31:31 
chb20, 28, 654, 168, 0.5, 0.69, 20/08/2024, 19:33:33 
chb20, 28, 654, 168, 0.5, 0.7, 20/08/2024, 19:35:36 
chb20, 28, 654, 168, 0.5, 0.7, 20/08/2024, 19:38:28 

chb21, 23, 1148, 288, 0.73, 0.66, 20/08/2024, 19:44:29 
chb21, 23, 1148, 288, 0.72, 0.65, 20/08/2024, 19:50:01 
chb21, 23, 1148, 288, 0.67, 1.34, 20/08/2024, 19:56:20 
chb21, 23, 1148, 288, 0.65, 1.13, 20/08/2024, 20:02:47 
chb21, 23, 1148, 288, 0.76, 0.54, 20/08/2024, 20:07:22 

chb17, 23, 200, 52, 0.5, 0.65, 21/08/2024, 09:13:25 
chb17, 23, 200, 52, 0.5, 0.68, 21/08/2024, 09:14:05 
chb17, 23, 200, 52, 0.69, 0.66, 21/08/2024, 09:14:46 
chb17, 23, 200, 52, 0.62, 0.65, 21/08/2024, 09:15:27 
chb17, 23, 200, 52, 0.5, 0.67, 21/08/2024, 09:16:07 
chb17, 23, 200, 52, 0.48, 0.66, 21/08/2024, 09:17:07 
chb17, 23, 200, 52, 0.5, 0.66, 21/08/2024, 09:18:05 
chb17, 23, 200, 52, 0.5, 0.67, 21/08/2024, 09:18:52 
chb17, 23, 200, 52, 0.5, 0.66, 21/08/2024, 09:19:39 
chb17, 23, 200, 52, 0.5, 0.65, 21/08/2024, 09:20:28 
chb17, 23, 200, 52, 0.5, 0.64, 21/08/2024, 09:20:54 
chb17, 23, 200, 52, 0.5, 0.67, 21/08/2024, 09:21:19 
chb17, 23, 200, 52, 0.5, 0.66, 21/08/2024, 09:21:40 

chb14, 23, 936, 240, 0.61, 0.66, 21/08/2024, 09:23:10 
chb14, 23, 936, 240, 0.59, 0.67, 21/08/2024, 09:26:13 
chb14, 23, 936, 240, 0.54, 0.69, 21/08/2024, 09:28:56 
chb14, 23, 936, 240, 0.52, 0.69, 21/08/2024, 09:31:40 
chb14, 23, 936, 240, 0.69, 0.66, 21/08/2024, 09:34:21 
chb14, 23, 936, 240, 0.58, 0.68, 21/08/2024, 09:37:04 
chb14, 23, 936, 240, 0.61, 0.67, 21/08/2024, 09:38:18 
chb14, 23, 936, 240, 0.55, 0.7, 21/08/2024, 09:39:29 
chb14, 23, 936, 240, 0.6, 0.68, 21/08/2024, 09:40:27 
chb14, 23, 936, 240, 0.59, 0.67, 21/08/2024, 09:41:18 
chb14, 23, 936, 240, 0.57, 0.68, 21/08/2024, 09:42:08 
chb14, 23, 936, 240, 0.55, 0.69, 21/08/2024, 09:42:54 
chb14, 23, 936, 240, 0.64, 0.67, 21/08/2024, 09:43:56


chb15, 32, 2306, 584, 0.79, 0.5, 21/08/2024, 09:55:33 
